No,Scan_Date,Asset,Status_Kepentingan_Asset,Asset_Type,Critical,High,Medium,Low,Info,Total_Vulnerability,Risk_Level
1,2026-01-05,api-gateway.prod,5,Server,1,4,6,10,8,29,High
2,2026-01-06,auth-service.prod,5,Application,2,5,7,9,6,29,High
3,2026-01-08,web-portal.company,4,Web Application,0,3,8,12,10,23,Medium
4,2026-01-10,finance-db.internal,5,Database,1,4,6,9,7,27,High
5,2026-01-12,crm-system.internal,4,Application,0,2,7,11,9,20,Medium
6,2026-01-15,mail-server.internal,4,Server,0,3,6,10,7,19,Medium
7,2026-01-17,backup-storage.nas,3,Storage,0,1,5,8,6,14,Low
8,2026-01-20,monitoring-node01,3,Server,0,2,6,9,5,17,Medium
9,2026-01-22,devops-ci-server,3,Application,0,2,5,7,4,14,Low
10,2026-01-25,analytics-engine,4,Application,0,3,7,10,6,20,Medium
11,2026-02-02,api-gateway.prod,5,Server,1,3,7,11,7,29,High
12,2026-02-04,auth-service.prod,5,Application,2,6,8,10,5,31,High
13,2026-02-06,web-portal.company,4,Web Application,0,3,7,11,8,21,Medium
14,2026-02-08,finance-db.internal,5,Database,1,4,6,9,6,26,High
15,2026-02-10,crm-system.internal,4,Application,0,3,8,12,7,23,Medium
16,2026-02-12,mail-server.internal,4,Server,0,2,7,9,5,18,Medium
17,2026-02-15,backup-storage.nas,3,Storage,0,1,4,7,5,12,Low
18,2026-02-17,monitoring-node01,3,Server,0,2,6,8,4,16,Low
19,2026-02-20,devops-ci-server,3,Application,0,2,5,7,3,14,Low
20,2026-02-24,analytics-engine,4,Application,0,3,7,10,6,20,Medium
21,2026-03-02,api-gateway.prod,5,Server,1,5,8,12,7,33,High
22,2026-03-05,auth-service.prod,5,Application,2,6,9,11,6,34,High
23,2026-03-07,web-portal.company,4,Web Application,0,4,8,13,9,25,Medium
24,2026-03-09,finance-db.internal,5,Database,1,5,7,10,7,30,High
25,2026-03-11,crm-system.internal,4,Application,0,3,8,11,7,22,Medium
26,2026-03-13,mail-server.internal,4,Server,0,3,7,9,6,19,Medium
27,2026-03-16,backup-storage.nas,3,Storage,0,1,4,7,5,12,Low
28,2026-03-18,monitoring-node01,3,Server,0,2,6,8,4,16,Low
29,2026-03-21,devops-ci-server,3,Application,0,2,5,7,4,14,Low
30,2026-03-25,analytics-engine,4,Application,0,4,8,11,6,23,Medium
31,2026-04-03,api-gateway.prod,5,Server,1,4,7,11,7,30,High
32,2026-04-05,auth-service.prod,5,Application,2,5,8,10,6,31,High
33,2026-04-07,web-portal.company,4,Web Application,0,3,7,12,8,22,Medium
34,2026-04-10,finance-db.internal,5,Database,1,4,7,10,6,28,High
35,2026-04-12,crm-system.internal,4,Application,0,3,8,11,7,22,Medium
36,2026-04-15,mail-server.internal,4,Server,0,3,7,10,6,20,Medium
37,2026-04-18,backup-storage.nas,3,Storage,0,1,4,6,5,11,Low
38,2026-04-20,monitoring-node01,3,Server,0,2,5,8,4,15,Low
39,2026-04-22,devops-ci-server,3,Application,0,2,5,7,3,14,Low
40,2026-04-25,analytics-engine,4,Application,0,3,7,10,6,20,Medium
41,2026-05-02,api-gateway.prod,5,Server,2,6,9,12,8,37,High
42,2026-05-05,auth-service.prod,5,Application,2,7,10,13,7,39,High
43,2026-05-07,web-portal.company,4,Web Application,1,4,9,14,9,28,High
44,2026-05-10,finance-db.internal,5,Database,1,5,8,11,7,32,High
45,2026-05-12,crm-system.internal,4,Application,0,4,9,12,8,25,Medium
46,2026-05-15,mail-server.internal,4,Server,0,3,8,10,6,21,Medium
47,2026-05-18,backup-storage.nas,3,Storage,0,1,4,6,5,11,Low
48,2026-05-20,monitoring-node01,3,Server,0,2,6,9,5,17,Low
49,2026-05-22,devops-ci-server,3,Application,0,2,5,7,4,14,Low
50,2026-05-25,analytics-engine,4,Application,0,4,8,11,6,23,Medium
